latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full reference,the_geom,created_at,updated_at,cartodb_id
54.088362,-1.3899867,Aldborough,Yorkshire,Cremation Cemetery,2,0,5th to 6th c,Ackroyd-Smith 1750,Unknown Location,,,0101000020E6100000D9FFA5B1623DF6BFC51A2E724F0B4B40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,4
52.364654,-0.59155887,Great Addington II,Northamptonshire,Cremation Cemetery,1,0,5th c,Baker 1883b,Unknown Location,,,0101000020E6100000FFE009DE0CEEE2BF842D76FBAC2E4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,106
52.114082,-0.4694894,Elstow Abbey,Bedfordshire,Cremation Cemetery,1,0,5th to 6th c,Baker 1966; 1969; 1971,Moot Hall Museum,,,0101000020E6100000F764B4441D0CDEBFF9872D3D9A0E4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,87
53.412809,-1.7321727,Bone Low,Derbyshire,Cremation Cemetery,3,0,5th to 6th c,Bateman 1861,Unknown Location,,,0101000020E6100000626298B8FAB6FBBF4B3FE1ECD6B44A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,29
53.107289,-1.7803789,Cold Eaton,Derbyshire,Cremation Cemetery,1,0,5th c,Bateman 1861,Unknown Location,,,0101000020E6100000B6D0DF956E7CFCBF3B1C5DA5BB8D4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,67
53.047139,-1.826926,Musden,Staffordshire,Cremation Cemetery,2,0,6th c,Bateman 1861,Unknown Location,,,0101000020E6100000BF64E3C1163BFDBFDEAE97A608864A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,159
53.08487,-1.8118452,Stanshope,Staffordshire,Cremation Cemetery,3,0,Unknown,Bateman 1861; Fowler 1954,Unknown Location,,,0101000020E61000001EA2766451FDFCBFAD342905DD8A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,216
52.124967,-0.2806701,Sandy,Bedfordshire,Cremation Cemetery,12,0,5th to 6th c,Battley 1745; Price 1853; Fox 1923,Unknown Location,,,0101000020E61000005FC31DB97FF6D1BF240A2DEBFE0F4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,192
52.407323,-1.3693274,Brinklow,Warwickshire,Cremation Cemetery,1,0,5th to 6th c,Bloxam 1840,Unknown Location,,,0101000020E6100000724408D9C3E8F5BF4DF4F92823344A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,38
52.344957,-0.52465517,Raunds,Northamptonshire,Cremation Cemetery,2,0,5th to 6th c,Boddington et al 1996,Unknown Location,,,0101000020E610000068799AA3F9C9E0BF5DC30C8D272C4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,175
52.830119,-1.4225939,King's Newton,Derbyshire,Cremation Cemetery,30,0,5th to 6th c,Briggs 1869,Unknown Location,,,0101000020E610000055D33FD2F1C2F6BFE564E256416A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,135
51.079026,1.1837265,Folkestone I,Kent,Cremation Cemetery,1,0,5th to 6th c,Brown 1915,Unknown Location,,,0101000020E61000006589CE328BF0F23F50C422861D8A4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,100
53.968585,-1.0716096,Heworth,Yorkshire,Cremation Cemetery,90,0,5th to 6th c,Brown 1915; Elgree and Elgee 1933; Tweddle et al 1999,Unknown Location,,,0101000020E61000003646A11B5025F1BFB532E197FAFB4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,116
53.630153,-0.64504132,Flixborough,Lincolnshire,Cremation Cemetery,0,0,5th to 6th c,Brown 1915; Myres 1951,Unknown Location,,,0101000020E61000005AFFBEB12DA4E4BFF73C7FDAA8D04A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,99
52.827733,0.89295836,Kettlestone,Norfolk,Cremation Cemetery,15,0,5th c,Brown 1915; Smith 1923,Unknown Location,,,0101000020E610000032791C691D93EC3FF568AA27F3694A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,133
