latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum
52.89425,0.54054116,Sedgeford,Norfolk,Mixed Cemetery,2,7,5th c,Ingleby 1917; Clarke 1939,Unknown Location
52.068608,0.18989597,Great Chesterford,Essex,Majority Inhumation Cemetery,38,167,5th c,Evison 1994; Inskip 2008,University of Southhampton
53.59864,-0.42088593,Elsham Wold,Lincolnshire,Majority Cremation Cemetery,630,4,5th to 6th c,Unpublished,Unknown Location
52.920201,1.0077341,Field Dalling,Norfolk,Majority Cremation Cemetery,47,2,5th to 6th c,Unpublished,Unknown Location
52.730065,0.95166334,Beetley Quarry,Norfolk,Majority Cremation Cemetery,16,1,5th to 6th c,Unger 2008,Unknown Location
52.403808,-0.71379029,Kettering I,Northamptonshire,Majority Cremation Cemetery,100,12,5th to 6th c,Bull 1904,Unknown Location
52.686094,0.60242407,Narford,Norfolk,Mixed Cemetery,4,1,5th to 6th c,Camden 1789,Unknown Location
52.485344,1.4538026,Broome,Norfolk,Mixed Cemetery,3,1,5th to 6th c,Chester 1859; Clarke 1941,Unknown Location
50.885439,-0.19590423,Saddlescombe,Sussex,Majority Cremation Cemetery,3,1,5th to 6th c,Toms 1915,Unknown Location
51.702428,-0.8828251,Bledlow Cop,Buckinghamshire,Majority Cremation Cemetery,5,2,5th to 6th c,Head 1938;  Farley 1992,Buckinghamshire County Museum
52.211154,-1.8755569,Alcester,Warwickshire,Mixed Cemetery,2,1,5th to 6th c,Read and Smith 1904,Unknown Location
52.370148,-1.4902962,Baginton,Warwickshire,Mixed Cemetery,40,20,5th to 6th c,Leeds 1935,Unknown Location
52.227922,0.082047801,Girton,Cambridgeshire,Majority Cremation Cemetery,150,80,5th to 6th c,Hollingworth and O'Reilly 1925; Lethbridge 1938,Unknown Location
51.458402,-0.9420483,Earley,Berkshire,Mixed Cemetery,8,5,5th to 6th c,Stevens 1894,Unknown Location
52.237316,-0.87383958,St Andrew's Hospital,Northamptonshire,Mixed Cemetery,3,2,5th to 6th c,Smith 1902; Brown 1915,Unknown Location
53.049064,-0.39778319,Ruskington,Lincolnshire,Majority Inhumation Cemetery,3,2,5th to 6th c,Trollope 1872,Unknown Location
51.14311,-0.97929049,Alton,Hampshire,Mixed Cemetery,30,25,5th to 6th c,Evison 1988,Unknown Location
52.448114,-0.82432916,Desborough II,Northamptonshire,Mixed Cemetery,2,2,5th to 6th c,Baker 1880,Unknown Location
52.637791,-1.1354927,Leicester,Leicestershire,Mixed Cemetery,2,2,5th to 6th c,Cottrill 1946,Unknown Location
53.635424,-0.6342852,Burton-Stather,Lincolnshire,Mixed Cemetery,2,2,5th to 6th c,Dudley and Walshaw 1931,Unknown Location
52.1581,0.06416744,Haslingfield,Cambridgeshire,Mixed Cemetery,2,2,5th to 6th c,Fox 1923; Lethbridge 1938,Unknown Location
52.341002,-0.9049684,Brixworth I,Northamptonshire,Mixed Cemetery,2,2,5th to 6th c,George 1904,Northants Museum
52.336548,-0.90948151,Brixworth II,Northamptonshire,Mixed Cemetery,2,2,5th to 6th c,George 1904,Northants Museum
52.861755,-1.4593072,Swarkeston,Derbyshire,Mixed Cemetery,2,2,5th to 6th c,Posnansky 1955,Unknown Location
50.897127,-0.44573505,Sullington Hill,Sussex,Mixed Cemetery,2,2,5th to 6th c,Unpublished,Unknown Location
51.978648,-1.2457834,Souldern,Oxfordshire,Mixed Cemetery,3,3,5th to 6th c,Salzman 1939,Unknown Location
52.092344,1.3269655,Bromeswell,Suffolk,Mixed Cemetery,18,19,5th to 6th c,Carver 2005; Fern (in prep),Unknown Location
51.372784,-0.1337098,Beddington,Surrey,Mixed Cemetery,10,13,5th to 6th c,Addy 1874,Unknown Location
51.662881,-1.3681457,Frilford I,Berkshire,Mixed Cemetery,10,13,5th to 6th c,Akerman 1867; Rolleston 1869; 1880; Peake 1913; Brown 1915,Unknown Location
52.098336,0.28187707,Linton A,Cambridgeshire,Mixed Cemetery,2,3,5th to 6th c,Lethbridge 1938,Unknown Location
52.426513,-0.82196244,Rothwell,Northamptonshire,Mixed Cemetery,1,2,5th to 6th c,Hief 1915-1916,Unknown Location
54.002385,-0.43158121,Driffield III,Yorkshire,Mixed Cemetery,1,2,5th to 6th c,Mortimer 1905,Unknown Location
52.454274,0.044140397,Chatteris,Cambridgeshire,Majority Inhumation Cemetery,1,2,5th to 6th c,Peckover 1879,Unknown Location
52.338056,-0.16085887,Hartford,Huntingdonshire,Mixed Cemetery,2,4,5th to 6th c,Wyatt 1870; Smith 1926,Unknown Location
52.190153,-1.6971515,Alveston Manor Hotel,Warwickshire,Mixed Cemetery,38,77,5th to 6th c,Stirland (Forthcoming),Unknown Location
51.842508,-1.8504463,Burn Ground,Gloucestershire,Majority Inhumation Cemetery,4,10,5th to 6th c,O'Neil and Grinsell 1960; Bishop and Bishop 1984,Unknown Location
51.387589,0.10691717,Orpington,Kent,Mixed Cemetery,19,52,5th to 6th c,Tester 1968,Unknown Location
53.014778,-0.60178713,Caythorpe,Lincolnshire,Mixed Cemetery,1,3,5th to 6th c,Myres 1937,Unknown Location
50.682638,-1.3488412,Bowcombe Down,Isle of Wight,Majority Inhumation Cemetery,9,27,5th to 6th c,Hillier 1855; Wilkins et al 1860; Arnold 1982,Unknown Location
51.392916,-0.46780242,Shepperton I,Middlesex,Majority Inhumation Cemetery,3,10,5th to 6th c,Shurlock 1868; Vulliamy 1930,Unknown Location
51.638573,-1.2138655,Longthorpe,Berkshire,Majority Inhumation Cemetery,47,189,5th to 6th c,Akerman 1861; 1863,Unknown Location
53.512871,-0.32755513,Fonaby,Lincolnshire,Majority Inhumation Cemetery,12,49,5th to 6th c,Cook 1981,Unknown Location
52.030215,-1.7361297,Blockley,Gloucestershire,Mixed Cemetery,1,5,5th to 6th c,Barnard 1925,Unknown Location
52.887842,-0.7470729,Woolsthorpe-by-Belvoir,Lincolnshire,Mixed Cemetery,2,10,5th to 6th c,Hill 1907; Phillips 1934,Unknown Location
51.345819,-0.25111601,Ewell House,Surrey,Majority Inhumation Cemetery,2,12,5th to 6th c,Dunning 1932; Wheeler 1935,Unknown Location
54.005719,-0.4116191,Cheesecake Hill,Yorkshire,Majority Inhumation Cemetery,3,24,5th to 6th c,Akerman 1855,Unknown Location
51.368612,-0.097962951,Croydon,Surrey,Majority Inhumation Cemetery,5,41,5th to 6th c,Nielsen 1992; O'Sullivan 1996,Unknown Location
50.786444,0.078355088,Bishopstone,Sussex,Majority Inhumation Cemetery,6,112,5th to 6th c,Meaney 1964,Unknown Location
51.571134,-1.213586,Blewburton Hill,Berkshire,Majority Inhumation Cemetery,1,22,5th to 6th c,Collins 1947; 1953; Collins and Collins 1959,Unknown Location
51.385056,0.24333783,Risely,Kent,Mixed Cemetery,5,114,5th to 6th c,Cumberland 1938,Unknown Location
52.563314,-0.25177651,Woodstone,Huntingdonshire,Majority Inhumation Cemetery,2,50,5th to 6th c,Smith 1926,Unknown Location
52.017914,-2.0465841,Beckford B,Worcestershire,Majority Inhumation Cemetery,4,120,5th to 6th c,Evison and Hill 1996,Unknown Location
50.666016,-1.4382134,Chessell Down,Isle of Wight,Majority Inhumation Cemetery,3,130,5th to 6th c,Hillier 1855,Unknown Location
51.022335,-1.7646984,Charlton Plantation,Wiltshire,Majority Inhumation Cemetery,1,46,5th to 6th c,Davies 1985,Unknown Location
52.235216,-0.9383247,Duston,Northamptonshire,Majority Inhumation Cemetery,2,100,5th to 6th c,George 1904,Unknown Location
52.819539,-1.0384051,Broughton Lodge,Nottinghamshire,Majority Inhumation Cemetery,1,120,5th to 6th c,Kinsley 1993,Unknown Location
53.495657,-0.59657054,Cleatham,Lincolnshire,Majority Cremation Cemetery,1204,62,5th to 7th c,Trollope 1857; Leahy 2007,North Lincolnshire Museum
52.117117,-0.49567536,Kempston,Bedfordshire,Mixed Cemetery,150,50,5th to 7th c,Wyatt 1857; Smith 1857,British Museum
51.944168,-0.54220574,Hick's Field,Bedfordshire,Mixed Cemetery,2,2,5th to 7th c,Morris 1962; Kennet 1969,Unknown Location
52.944815,-1.0787879,Holme Pierrepont,Nottinghamshire,Mixed Cemetery,30,60,5th to 7th c,Skelton 1931,Unknown Location
50.827948,-0.45087329,Highdown Hill,Sussex,Majority Inhumation Cemetery,30,190,5th to 7th c,Read 1895; Griffith 1925; Welch 1983,Unknown Location
51.286414,-1.6500727,Collingbourne Ducis,Wiltshire,Majority Inhumation Cemetery,13,114,5th to 7th c,Gingell 1978; Stoodley and Schuster 2009,Unknown Location
52.311364,0.6317313,West Stow,Suffolk,Majority Inhumation Cemetery,1,100,5th to 7th c,Alkerman 1855; West 1985,Unknown Location
53.681598,-0.44049662,Castledyke,Lincolnshire,Majority Inhumation Cemetery,1,196,5th to 7th c,Drinkall and Foreman 1998,Unknown Location
52.978062,-0.53892793,Ancaster,Lincolnshire,Majority Cremation Cemetery,40,1,5th to Early 6th c,Trollope 1870; Williams 2002,Unknown Location
51.26315,1.2910661,Ringlemere,Kent,Majority Inhumation Cemetery,12,39,5th to Early 6th c,Corke 2004; Parfitt and Needham 2005; Parfitt and Needham 2007; Marzinzik 2011,Unknown Location
52.471365,0.86657227,Illington,Norfolk,Majority Cremation Cemetery,104,3,5th to Early 7th c,Clarke 1957,Unknown Location
52.988651,-0.45216286,Quarrington I,Lincolnshire,Mixed Cemetery,2,2,5th to Early 7th c,Yerburgh 1825; Trollope 1872; Dickinson 2004,Unknown Location
52.551799,-0.32598334,Alwalton,Huntingdonshire,Mixed Cemetery,30,34,5th to Early 7th c,Gibson 2007,Peterborough Museum
52.297639,-0.98229175,Holdenby,Northamptonshire,Mixed Cemetery,3,25,5th to Early 7th c,Hartshorne 1868,Unknown Location
50.905885,-1.391244,St. Mary's Stadium,Hampshire,Mixed Cemetery,18,23,5th to Late7th c,Unpublished,Unknown Location
52.566655,-0.29590819,Long Wittenham,Northamptonshire,Majority Inhumation Cemetery,22,2,6th c,Frere and St. Joseph 1974,Unknown Location
52.30412,0.55208643,Tuddenham,Suffolk,Mixed Cemetery,2,1,6th c,Fox 1923,Unknown Location
54.575532,-0.99444296,Saltburn-on-Sea,Yorkshire,Mixed Cemetery,20,30,6th c,Hornsby 1913; Brown 1915,Unknown Location
51.756094,-0.9495956,Tythrop House,Oxfordshire,Mixed Cemetery,2,10,6th c,Lupton 1860; Head 1946,Unknown Location
51.727123,-1.4483299,Brighthampton,Oxfordshire,Majority Inhumation Cemetery,11,70,6th c,Akerman 1858; Akerman 1860; Atkinson and Kirk 1949,Unknown Location
51.499612,0.31812077,Stifford Clays,Essex,Majority Inhumation Cemetery,1,8,6th c,Tyler 1996,Unknown Location
52.090801,-1.2103237,Marston St Lawrence,Northamptonshire,Majority Inhumation Cemetery,3,32,6th c,Dryden 1885,Unknown Location
51.233373,-0.58053566,Guildown,Surrey,Majority Inhumation Cemetery,3,36,6th c,Lowther 1931; Whimster 1931,Unknown Location
